gas age (a B1950),CH4 (ppbv)
735510.0,542
736072.0,508
736435.0,423
737244.0,407
737841.0,408
738534.0,403
739097.0,411
739942.0,414
740595.0,388
741286.0,409
741800.0,402
742572.0,422
743193.0,439
743911.0,422
744446.0,421
745243.0,432
745858.0,415
746569.0,428
747101.0,402
747898.0,405
748515.0,392
749222.0,409
749737.0,378
750541.0,400
751185.0,408
751930.0,428
752486.0,401
753441.0,431
755067.0,410
755505.0,406
756357.0,429
757015.0,445
757743.0,419
758285.0,439
758519.0,473
758765.0,480
759096.0,505
759683.0,498
759821.0,498
760051.0,486
760476.0,421
760868.0,434
761679.0,462
762250.0,454
763207.0,473
763680.0,474
764628.0,521
765345.0,538
765759.0,556
766143.0,549
766567.0,563
766726.0,518
767110.0,535
767269.0,500
767599.0,470
767932.0,462
768252.0,467
769007.0,519
769532.0,486
770522.0,568
771270.0,570
771578.0,587
771740.0,616
772132.0,622
772348.0,630
772653.0,632
772958.0,647
773212.0,639
773529.0,556
773809.0,543
773999.0,539
774177.0,530
774916.0,566
775466.0,549
776291.0,583
776910.0,577
777640.0,618
778162.0,601
778912.0,658
779486.0,681
780149.0,614
780646.0,598
781419.0,616
782007.0,630
782787.0,633
783105.0,623
783891.0,639
784388.0,618
784998.0,653
785454.0,639
786153.0,686
786695.0,677
787269.0,723
787320.0,739
787425.0,699
787712.0,713
788372.0,659
788822.0,589
789454.0,562
789898.0,543
790569.0,540
791223.0,483
791978.0,503
792542.0,466
793474.0,470
794205.0,451
795053.0,420
795454.0,428
796799.0,418
797541.0,396
798593.0,458
799472.0,399
